1,2,3,4,5,6,7,8,9,,,,,,,,,,,
,,,1991," 1,023,078 ","+399,228    ",+63.99          ," 554,122 "," 468,956 ",,,,,,,,,,,
,,,2001," 1,463,583 ","+440,505    ",+43.06          ," 794,074 "," 669,509 ",,,,,,,,,,,
,,,2011," 1,709,346 ","+245,763    ",+16.79          ," 907,500 "," 801,846 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
07,094, New Delhi ,1901,          N.A.,                  ----- ,                  ----- ,         N.A.,         N.A.,,,,,,,,,,,
,,,1911,          N.A.,          N.A.,          N.A.,         N.A.,         N.A.,,,,,,,,,,,
,,,1921,          N.A.,          N.A.,          N.A.,         N.A.,         N.A.,,,,,,,,,,,
,,,1931,          N.A.,          N.A.,          N.A.,         N.A.,         N.A.,,,,,,,,,,,
,,,1941,          N.A.,          N.A.,          N.A.,         N.A.,         N.A.,,,,,,,,,,,
,,,1951,          N.A.,          N.A.,          N.A.,         N.A.,         N.A.,,,,,,,,,,,
,,,1961," 143,846 ",          N.A.,          N.A.," 86,177 "," 57,669 ",,,,,,,,,,,
,,,1971," 164,702 ","+20,856    ",+14.50          ," 96,564 "," 68,138 ",,,,,,,,,,,
,,,1981," 144,115 ","-20,587 ",-12.50 ," 83,853 "," 60,262 ",,,,,,,,,,,
,,,1991," 168,669 ","+24,554    ",+17.04          ," 94,071 "," 74,598 ",,,,,,,,,,,
,,,2001," 179,112 ","+10,443    ",+6.19          ," 99,956 "," 79,156 ",,,,,,,,,,,
,,,2011," 142,004 ","-37,108 ",-20.72 ," 77,942 "," 64,062 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
07,095, Central   ,1901,         N.A.,                  ----- ,                  ----- ,         N.A.,         N.A.,,,,,,,,,,,
,,,1911,         N.A.,                N.A.,                N.A.,         N.A.,         N.A.,,,,,,,,,,,
,,,1921,         N.A.,                N.A.,                N.A.,         N.A.,         N.A.,,,,,,,,,,,
,,,1931,         N.A.,                N.A.,                N.A.,         N.A.,         N.A.,,,,,,,,,,,
,,,1941,         N.A.,                N.A.,                N.A.,         N.A.,         N.A.,,,,,,,,,,,
,,,1951,         N.A.,                N.A.,                N.A.,         N.A.,         N.A.,,,,,,,,,,,
,,,1961," 672,063 ",                N.A.,                N.A.," 373,909 "," 298,154 ",,,,,,,,,,,
,,,1971," 691,738 ","+19,675    ",+2.93          ," 380,009 "," 311,729 ",,,,,,,,,,,
,,,1981," 691,223 ",-515 ,-0.07 ," 374,851 "," 316,372 ",,,,,,,,,,,
,,,1991," 656,533 ","-34,690 ",-5.02 ," 350,715 "," 305,818 ",,,,,,,,,,,
,,,2001," 646,385 ","-10,148 ",-1.55 ," 350,831 "," 295,554 ",,,,,,,,,,,
,,,2011," 582,320 ","-64,065 ",-9.91 ," 307,821 "," 274,499 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
07,096, West    ,1901,         N.A.,                  ----- ,                  ----- ,         N.A.,         N.A.,,,,,,,,,,,
,,,1911,         N.A.,                N.A.,                N.A.,         N.A.,         N.A.,,,,,,,,,,,
,,,1921,         N.A.,                N.A.,                N.A.,         N.A.,         N.A.,,,,,,,,,,,
,,,1931,         N.A.,                N.A.,                N.A.,         N.A.,         N.A.,,,,,,,,,,,
,,,1941,         N.A.,                N.A.,                N.A.,         N.A.,         N.A.,,,,,,,,,,,
,,,1951,         N.A.,                N.A.,                N.A.,         N.A.,         N.A.,,,,,,,,,,,
,,,1961," 250,702 ",                N.A.,                N.A.," 138,721 "," 111,981 ",,,,,,,,,,,
,,,1971," 572,976 ","+322,274    ",+128.55          ," 312,409 "," 260,567 ",,,,,,,,,,,
,,,1981," 958,931 ","+385,955    ",+67.36          ," 524,056 "," 434,875 ",,,,,,,,,,,
,,,1991," 1,433,038 ","+474,107    ",+49.44          ," 775,265 "," 657,773 ",,,,,,,,,,,
,,,2001," 2,128,908 ","+695,870    ",+48.56          ," 1,163,084 "," 965,824 ",,,,,,,,,,,
,,,2011," 2,543,243 ","+414,335    ",+19.46          ," 1,356,240 "," 1,187,003 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
07,097, South West    ,1901,         N.A.,                  ----- ,                  ----- ,         N.A.,         N.A.,,,,,,,,,,,
,,,1911,         N.A.,                N.A.,                N.A.,         N.A.,         N.A.,,,,,,,,,,,
,,,1921,         N.A.,                N.A.,                N.A.,         N.A.,         N.A.,,,,,,,,,,,
,,,1931,         N.A.,                N.A.,                N.A.,         N.A.,         N.A.,,,,,,,,,,,
,,,1941,         N.A.,                N.A.,                N.A.,         N.A.,         N.A.,,,,,,,,,,,
,,,1951,         N.A.,                N.A.,                      N.A.,         N.A.,         N.A.,,,,,,,,,,,
,,,1961," 251,383 ",                N.A.,                N.A.," 139,927 "," 111,456 ",,,,,,,,,,,
,,,1971," 479,189 ","+227,806    ",+90.62          ," 267,517 "," 211,672 ",,,,,,,,,,,
,,,1981," 679,170 ","+199,981    ",+41.73          ," 380,668 "," 298,502 ",,,,,,,,,,,
,,,1991," 1,087,573 ","+408,403    ",+60.13          ," 605,962 "," 481,611 ",,,,,,,,,,,
,,,2001," 1,755,041 ","+667,468    ",+61.37          ," 983,615 "," 771,426 ",,,,,,,,,,,
,,,2011," 2,292,958 ","+537,917    ",+30.65          ," 1,246,046 "," 1,046,912 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
07,098, South   ,1901,         N.A.,                  ----- ,                  ----- ,         N.A.,         N.A.,,,,,,,,,,,
,,,1911,         N.A.,                N.A.,                N.A.,         N.A.,         N.A.,,,,,,,,,,,
,,,1921,         N.A.,                N.A.,                N.A.,         N.A.,         N.A.,,,,,,,,,,,
,,,1931,         N.A.,                N.A.,                N.A.,         N.A.,         N.A.,,,,,,,,,,,
,,,1941,         N.A.,                N.A.,                N.A.,         N.A.,         N.A.,,,,,,,,,,,
,,,1951,         N.A.,                N.A.,                N.A.,         N.A.,         N.A.,,,,,,,,,,,
,,,1961," 314,789 ",                N.A.,                N.A.," 176,636 "," 138,153 ",,,,,,,,,,,
,,,1971," 589,956 ","+275,167    ",+87.41          ," 328,523 "," 261,433 ",,,,,,,,,,,
,,,1981," 986,856 ","+396,900    ",+67.28          ," 550,211 "," 436,645 ",,,,,,,,,,,
,,,1991," 1,501,881 ","+515,025    ",+52.19          ," 831,295 "," 670,586 ",,,,,,,,,,,
,,,2001," 2,267,023 ","+765,142    ",+50.95          ," 1,260,025 "," 1,006,998 ",,,,,,,,,,,
,,,2011," 2,731,929 ","+464,906    ",+20.51          ," 1,467,428 "," 1,264,501 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Note:-,,,,,,,,,,,,,,,,,
,, i) , N.A = Not available ,,,,,,,,,,,,,,,,
,, ii) ," Prior to 2001 Census, Delhi had only two districts i.e. Delhi and Mehrauli. ",,,,,,,,,,,,,,,,
,, iii) ," Due to lack of data, population of districts from 1901 to 1951 shown as N.A. ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
