,,,1961," 254,324 ","+120,697    ",+90.32          ," 131,225 "," 123,099 ",,,,,,,
,,,1971," 358,620 ","+104,296    ",+41.01          ," 184,140 "," 174,480 ",,,,,,,
,,,1981," 511,051 ","+152,431    ",+42.50          ," 262,651 "," 248,400 ",,,,,,,
,,,1991," 717,950 ","+206,899    ",+40.49          ," 367,921 "," 350,029 ",,,,,,,
,,,2001," 764,710 ","+46,760    ",+6.51          ," 393,199 "," 371,511 ",,,,,,,
,,,2011," 876,001 ","+111,291    ",+14.55          ," 447,544 "," 428,457 ",,,,,,,
,,,,,,,,,,,,,,,
16,291,Dhalai,1901," 6,529 ",                      -----,                      -----," 3,497 "," 3,032 ",,,,,,,
,,,1911," 12,343 ","+5,814    ",+89.05          ," 6,573 "," 5,770 ",,,,,,,
,,,1921," 17,803 ","+5,460    ",+44.24          ," 9,483 "," 8,320 ",,,,,,,
,,,1931," 23,027 ","+5,224    ",+29.34          ," 12,243 "," 10,784 ",,,,,,,
,,,1941," 30,669 ","+7,642    ",+33.19          ," 16,201 "," 14,468 ",,,,,,,
,,,1951," 35,501 ","+4,832    ",+15.76          ," 18,701 "," 16,800 ",,,,,,,
,,,1961," 63,045 ","+27,544    ",+77.59          ," 32,933 "," 30,112 ",,,,,,,
,,,1971," 111,219 ","+48,174    ",+76.41          ," 57,935 "," 53,284 ",,,,,,,
,,,1981," 208,783 ","+97,564    ",+87.72          ," 107,741 "," 101,042 ",,,,,,,
,,,1991," 278,247 ","+69,464    ",+33.27          ," 144,066 "," 134,181 ",,,,,,,
,,,2001," 310,598 ","+32,351    ",+11.63          ," 160,501 "," 150,097 ",,,,,,,
,,,2011," 378,230 ","+67,632    ",+21.77          ," 194,544 "," 183,686 ",,,,,,,
,,,,,,,,,,,,,,,
16,292,North Tripura,1901," 26,633 ",                      -----,                      -----," 14,291 "," 12,342 ",,,,,,,
,,,1911," 43,749 ","+17,116    ",+64.27          ," 23,355 "," 20,394 ",,,,,,,
,,,1921," 70,547 ","+26,798    ",+61.25          ," 37,607 "," 32,940 ",,,,,,,
,,,1931," 91,990 ","+21,443    ",+30.40          ," 48,772 "," 43,218 ",,,,,,,
,,,1941," 123,411 ","+31,421    ",+34.16          ," 64,873 "," 58,538 ",,,,,,,
,,,1951," 148,126 ","+24,715    ",+20.03          ," 78,235 "," 69,891 ",,,,,,,
,,,1961," 253,307 ","+105,181    ",+71.01          ," 132,083 "," 121,224 ",,,,,,,
,,,1971," 338,951 ","+85,644    ",+33.81          ," 174,869 "," 164,082 ",,,,,,,
,,,1981," 356,972 ","+18,021    ",+5.32          ," 184,849 "," 172,123 ",,,,,,,
,,,1991," 467,147 ","+110,175    ",+30.86          ," 240,367 "," 226,780 ",,,,,,,
,,,2001," 590,913 ","+123,766    ",+26.49          ," 302,946 "," 287,967 ",,,,,,,
,,,2011," 693,947 ","+103,034    ",+17.44          ," 352,860 "," 341,087 ",,,,,,,
,,,,,,,,,,,,,,,
,,Note:-,,,,,,,,,,,,,
,,,* The population shown in 1901 of West Tripura District includes the population of Udaipur and Amarpur,,,,,,,,,,,,
,,,Sub- division of South Tripura districts as the 1901 population of these district are not comparable. ,,,,,,,,,,,,
,,,N.A. which stands for ' Not available' has been shown.,,,,,,,,,,,,
,,,,,,,,,,,,,,,
