,,,1951,         N.A.,         N.A.,         N.A.,         N.A.,          N.A.,,,,,,,,,,,
,,,1961,         N.A.,         N.A.,         N.A.,         N.A.,          N.A.,,,,,,,,,,,
,,,1971," 58,023 ",         N.A.,         N.A.," 29,961 "," 28,062 ",,,,,,,,,,,
,,,1981," 75,192 ","+17,169    ",+29.59          ," 39,444 "," 35,748 ",,,,,,,,,,,
,,,1991," 98,161 ","+22,969    ",+30.55          ," 51,246 "," 46,915 ",,,,,,,,,,,
,,,2001," 123,256 ","+25,095    ",+25.57          ," 63,912 "," 59,344 ",,,,,,,,,,,
,,,2011," 136,435 ","+13,179    ",+10.69          ," 70,238 "," 66,197 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
11,243,South District,1901,         N.A.,                 -----,                 -----,         N.A.,          N.A.,,,,,,,,,,,
,,,1911,         N.A.,         N.A.,         N.A.,         N.A.,          N.A.,,,,,,,,,,,
,,,1921,         N.A.,         N.A.,         N.A.,         N.A.,          N.A.,,,,,,,,,,,
,,,1931,         N.A.,         N.A.,         N.A.,         N.A.,          N.A.,,,,,,,,,,,
,,,1941,         N.A.,         N.A.,         N.A.,         N.A.,          N.A.,,,,,,,,,,,
,,,1951,         N.A.,         N.A.,         N.A.,         N.A.,          N.A.,,,,,,,,,,,
,,,1961,         N.A.,         N.A.,         N.A.,         N.A.,          N.A.,,,,,,,,,,,
,,,1971," 53,185 ",         N.A.,         N.A.," 27,862 "," 25,323 ",,,,,,,,,,,
,,,1981," 75,976 ","+22,791    ",+42.85          ," 40,980 "," 34,996 ",,,,,,,,,,,
,,,1991," 98,604 ","+22,628    ",+29.78          ," 52,105 "," 46,499 ",,,,,,,,,,,
,,,2001," 131,525 ","+32,921    ",+33.39          ," 68,241 "," 63,284 ",,,,,,,,,,,
,,,2011," 146,850 ","+15,325    ",+11.65          ," 76,670 "," 70,180 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
11,244,East District,1901,        N.A.,                 -----,                 -----,         N.A.,      N.A.,,,,,,,,,,,
,,,1911,        N.A.,        N.A.,        N.A.,         N.A.,      N.A.,,,,,,,,,,,
,,,1921,        N.A.,        N.A.,        N.A.,         N.A.,      N.A.,,,,,,,,,,,
,,,1931,        N.A.,        N.A.,        N.A.,         N.A.,      N.A.,,,,,,,,,,,
,,,1941,        N.A.,        N.A.,        N.A.,         N.A.,      N.A.,,,,,,,,,,,
,,,1951,        N.A.,        N.A.,        N.A.,         N.A.,      N.A.,,,,,,,,,,,
,,,1961," 56,704 ",        N.A.,        N.A.," 30,091 "," 26,613 ",,,,,,,,,,,
,,,1971," 85,621 ","+28,917    ",+51.0          ," 47,817 "," 37,804 ",,,,,,,,,,,
,,,1981," 138,762 ","+53,141    ",+62.07          ," 77,232 "," 61,530 ",,,,,,,,,,,
,,,1991," 178,452 ","+39,690    ",+28.60          ," 95,986 "," 82,466 ",,,,,,,,,,,
,,,2001," 245,040 ","+66,588    ",+37.31          ," 132,917 "," 112,123 ",,,,,,,,,,,
,,,2011," 283,583 ","+38,543    ",+15.73          ," 151,432 "," 132,151 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,N.A.:- ,In Sikkim the figures at state level are given for all the census years commencing from,,,,,,,,,,,,,,,
,,,,1901 to 2011. But at the district level the figures are presented from 1961 onward,,,,,,,,,,,,,,,
,,,,in the case of North and East districts and from 1971 in respect of all the four districts,,,,,,,,,,,,,,,
,,,, due to non availbility of information at district level prior to this period.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
